,0,1,2,3,awair_device_uuid,awair_mac_address,description,details,device_class,device_id,facilities_tag,gateway_id,location_general,location_specific,receiver,time,value
5586,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:15:30-05:00,782.0
5587,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:15:40-05:00,784.0
5588,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:15:50-05:00,786.0
5589,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:16:00-05:00,787.0
5590,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:16:10-05:00,789.0
5591,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:16:20-05:00,791.0
5592,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:16:30-05:00,793.0
5593,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:16:40-05:00,795.0
5594,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:16:50-05:00,797.0
5595,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:17:00-05:00,797.0
5596,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:17:10-05:00,798.0
5597,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:17:20-05:00,799.0
5598,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:17:30-05:00,799.0
5599,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:17:40-05:00,799.0
5600,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:17:50-05:00,800.0
5601,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:18:00-05:00,801.0
5602,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:18:10-05:00,802.0
5603,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:18:20-05:00,802.0
5604,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:18:30-05:00,803.0
5605,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:18:40-05:00,805.0
5606,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:18:50-05:00,807.0
5607,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:19:00-05:00,809.0
5608,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:19:10-05:00,810.0
5609,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:19:20-05:00,810.0
5610,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:19:30-05:00,812.0
5611,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:19:40-05:00,814.0
5612,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:19:50-05:00,815.0
5613,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:20:00-05:00,816.0
5614,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:20:10-05:00,815.0
5615,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:20:21-05:00,813.0
5616,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:20:31-05:00,813.0
5617,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:20:41-05:00,813.0
5618,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:20:51-05:00,813.0
5619,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:21:01-05:00,814.0
5620,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:21:11-05:00,814.0
5621,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:21:21-05:00,815.0
5622,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:21:31-05:00,816.0
5623,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:21:41-05:00,817.0
5624,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:21:51-05:00,818.0
5625,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:22:01-05:00,819.0
5626,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:22:11-05:00,818.0
5627,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:22:21-05:00,818.0
5628,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:22:31-05:00,817.0
5629,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:22:41-05:00,817.0
5630,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:22:51-05:00,817.0
5631,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:23:01-05:00,816.0
5632,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:23:11-05:00,816.0
5633,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:23:21-05:00,816.0
5634,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:23:31-05:00,815.0
5635,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:23:41-05:00,817.0
5636,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:23:51-05:00,816.0
5637,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:24:01-05:00,816.0
5638,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:24:11-05:00,818.0
5639,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:24:21-05:00,819.0
5640,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:24:31-05:00,820.0
5641,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:24:41-05:00,821.0
5642,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:24:51-05:00,823.0
5643,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:25:01-05:00,825.0
